speedKMH,currentTime,throttle,brake,clutch
0.002,0:22:557,0.432,0,1
0.002,0:22:566,0.461,0,1
0.002,0:22:581,0.505,0,1
0.002,0:22:587,0.534,0,1
0.002,0:22:599,0.576,0,1
0.002,0:22:611,0.602,0,1
0.002,0:22:617,0.626,0,1
0.002,0:22:629,0.65,0,1
0.002,0:22:638,0.672,0,1
0.002,0:22:650,0.709,0,1
0.002,0:22:656,0.747,0,1
0.002,0:22:671,0.77,0,1
0.002,0:22:677,0.8,0,1
0.002,0:22:689,0.816,0,1
0.002,0:22:701,0.825,0,1
0.002,0:22:707,0.85,0,1
0.002,0:22:722,0.86,0,1
0.002,0:22:728,0.866,0,1
0.002,0:22:740,0.874,0,1
0.002,0:22:746,0.876,0,1
0.002,0:22:761,0.878,0,1
0.002,0:22:767,0.876,0,1
0.002,0:22:779,0.866,0,1
0.002,0:22:791,0.855,0,1
0.002,0:22:797,0.831,0,1
0.002,0:22:812,0.806,0,1
0.002,0:22:818,0.774,0,1
0.002,0:22:830,0.733,0,1
0.002,0:22:836,0.661,0,1
0.002,0:22:851,0.607,0,1
0.002,0:22:857,0.547,0,1
0.002,0:22:869,0.454,0,1
0.001,0:22:875,0.406,0,1
0.001,0:22:887,0.351,0,1
0.001,0:22:902,0.305,0,1
0.001,0:22:908,0.279,0,1
0.001,0:22:920,0.233,0,1
0.001,0:22:926,0.219,0,1
0.001,0:22:941,0.191,0,1
0.001,0:22:953,0.152,0,1
0.001,0:22:959,0.111,0,1
0.001,0:22:971,0.083,0,1
0.001,0:22:977,0.047,0,1
0.001,0:22:992,0.029,0,1
0.001,0:22:998,0,0,1
0.001,0:23:010,0,0,1
0.001,0:23:016,0,0,1
0.001,0:23:031,0,0,1
0.001,0:23:043,0,0,1
0.001,0:23:049,0,0,1
0.001,0:23:061,0,0,1
0.001,0:23:067,0,0,1
0.001,0:23:082,0,0,1
0.001,0:23:088,0,0,1
0.001,0:23:100,0,0,1
0.001,0:23:106,0,0,1
0.001,0:23:121,0,0,1
0.001,0:23:127,0,0.033,1
0.001,0:23:139,0,0.053,1
0.001,0:23:145,0,0.068,1
0.001,0:23:160,0,0.091,1
0.001,0:23:172,0,0.106,1
0.001,0:23:178,0,0.123,1
0.001,0:23:190,0,0.147,1
0.001,0:23:196,0,0.179,1
0.001,0:23:211,0,0.19,1
0.001,0:23:217,0,0.235,1
0.001,0:23:229,0,0.269,1
0.001,0:23:241,0,0.326,1
0.001,0:23:250,0,0.368,1
0.001,0:23:262,0,0.435,1
0.001,0:23:268,0,0.478,1
0.001,0:23:280,0,0.544,1
0.001,0:23:289,0,0.587,1
0.001,0:23:301,0,0.625,1
0.001,0:23:307,0,0.681,1
0.001,0:23:319,0,0.715,1
0.001,0:23:325,0,0.747,1
0.001,0:23:340,0,0.788,1
0.001,0:23:352,0,0.813,1
0.001,0:23:358,0,0.834,1
0.001,0:23:373,0,0.863,1
0.001,0:23:379,0,0.877,1
0.001,0:23:391,0,0.894,1
0.001,0:23:397,0,0.897,1
0.001,0:23:409,0,0.897,1
0.001,0:23:418,0,0.897,1
0.001,0:23:430,0,0.897,1
0.001,0:23:442,0,0.896,1
0.001,0:23:448,0,0.892,1
0.001,0:23:463,0,0.887,1
0.001,0:23:469,0,0.88,1
0.001,0:23:481,0,0.858,1
0.001,0:23:487,0,0.837,1
0.001,0:23:499,0,0.794,1
0.001,0:23:508,0,0.762,1
0.001,0:23:520,0,0.728,1
0.001,0:23:526,0,0.693,1
0.001,0:23:541,0,0.656,1
0.001,0:23:547,0,0.597,1
0.001,0:23:559,0,0.538,1
0.001,0:23:571,0,0.479,1
0.001,0:23:577,0,0.439,1
0.001,0:23:592,0,0.402,1
0.001,0:23:598,0,0.385,1
0.001,0:23:610,0,0.329,1
0.001,0:23:616,0,0.28,1
0.001,0:23:631,0,0.249,1
0.001,0:23:637,0,0.205,1
0.001,0:23:649,0,0.179,1
0.001,0:23:661,0,0.167,1
0.001,0:23:670,0,0.134,1
0.001,0:23:682,0,0.104,1
0.001,0:23:688,0,0.086,1
0.001,0:23:700,0,0.06,1
0.001,0:23:706,0,0.043,1
0.002,0:23:721,0,0.028,1
0.002,0:23:727,0,0,1
0.002,0:23:739,0,0,1
0.002,0:23:751,0,0,1
0.002,0:23:760,0.022,0,1
0.002,0:23:772,0.026,0,1
0.002,0:23:778,0.031,0,1
0.002,0:23:790,0.039,0,1
0.002,0:23:796,0.05,0,1
0.002,0:23:811,0.059,0,1
0.002,0:23:817,0.078,0,1
0.002,0:23:829,0.085,0,1
0.002,0:23:844,0.107,0,1
0.002,0:23:850,0.124,0,1
0.002,0:23:862,0.149,0,1
0.002,0:23:868,0.168,0,1
0.002,0:23:883,0.197,0,1
0.002,0:23:889,0.217,0,1
0.002,0:23:901,0.253,0,1
0.002,0:23:907,0.28,0,1
0.002,0:23:919,0.327,0,1
0.002,0:23:925,0.362,0,1
0.002,0:23:940,0.404,0,1
0.002,0:23:946,0.45,0,1
0.002,0:23:958,0.518,0,1
